ins_number,name_th,name_en,function_group,label_required_format
129,แอลลูรา เรด เอซี,ALLURA RED AC ,สี,สี (ins_number) หรือสี(name_th)
123,อะมาแรนท์,AMARANTH ,สี,สี (ins_number) หรือสี(name_th)
160b(i),สารสกัดเมล็ดคำแสดที่มีบิกซิน,"ANNATTO EXTRACTS, BIXIN-BASED ",สี,สี (ins_number) หรือสี(name_th)
160b(ii),สารสกัดเมล็ดคำแสดที่มีนอร์บิกซิน,"ANNATTO EXTRACTS, NORBIXIN-BASED ",สี,สี (ins_number) หรือสี(name_th)
122,เอโซรูบีน,AZORUBINE ,สี,สี (ins_number) หรือสี(name_th)
162,สีแดงหัวบีต,BEET RED ,สี,สี (ins_number) หรือสี(name_th)
160a(iii),บีตา-แคโรทีนจากราบลาเคสเลีย ไทรสปอรา,"beta-CAROTENES, BLAKESLEA TRISPORA ",สี,สี (ins_number) หรือสี(name_th)
160a(i),บีตา-แคโรทีนสังเคราะห์,"beta-CAROTENES, SYNTHETIC ",สี,สี (ins_number) หรือสี(name_th)
151,บริลเลียนต์ แบลค,BRILLIANT BLACK (BLACK PN ),สี,สี (ins_number) หรือสี(name_th)
133,บริลเลียนต์ บลู เอฟซีเอฟ,BRILLIANT BLUE FCF ,สี,สี (ins_number) หรือสี(name_th)
155,บราวน์ เอชที,BROWN HT ,สี,สี (ins_number) หรือสี(name_th)
170(i),แคลเซียมคาร์บอเนต,CALCIUM CARBONATE ,สี,สี (ins_number) หรือสี(name_th)
150a,คาราเมลกลุ่ม 1 - คาราเมลธรรมดา,CARAMEL I - PLAIN CARAMEL ,สี,สี (ins_number) หรือสี(name_th)
150b,คาราเมลกลุ่ม 2 - คาราเมลซัลไฟต์,CARAMEL II - SULFITE CARAMEL ,สี,สี (ins_number) หรือสี(name_th)
150c,คาราเมลกลุ่มที่ 3 – แอมโมเนียคาราเมล,CARAMEL III - AMMONIA CARAMEL ,สี,สี (ins_number) หรือสี(name_th)
150d,คาราเมลกลุ่มที่ 4 – ซัลไฟต์แอมโมเนียคาราเมล,CARAMEL IV - SULFITE AMMONIA CARAMEL ,สี,สี (ins_number) หรือสี(name_th)
120,คาร์มีน,CARMINES ,สี,สี (ins_number) หรือสี(name_th)
160e,บีตา-แอโพ-8'-แคโรทีนัล,"CAROTENAL, BETA-APO-8'- ",สี,สี (ins_number) หรือสี(name_th)
160a(ii),บีตา-แคโรทีนจากผัก,"CAROTENES, BETA-, VEGETABLE ",สี,สี (ins_number) หรือสี(name_th)
160f,เอทิลเอสเตอร์ของกรดบีตา-แอโพ-8'-แคโรทีโนอิก,"CAROTENOIC ACID, ETHYL ESTER, BETA-APO-8'- ",สี,สี (ins_number) หรือสี(name_th)
