nutrient,claim_text,threshold,threshold_rdi,condition,special_rule,saturate_fat_energy<=10%Energy
พลังงาน (energy),"ปราศจาก, ไม่มี (free, without, free of, no, zero)",energy<5,,"1,2",,
พลังงาน (energy),"ต่ำ (low, few, low in, low source of, contains a small amount of)",energy<=40,,"1,2",,
"ไขมันทั้งหมด (total fat, fat)","ปราศจาก, ไม่มี (free, without, free of, no, zero, nonfat)",fat<0.5,,"1,2,3",,
"ไขมันทั้งหมด (total fat, fat)","ต่ำ (low, low in, low source of, little, contains a small amount of)",fat<=3,,"1,2",,
ไขมันอิ่มตัว (saturated fat),"ปราศจาก, ไม่มี (free, without, free of, no, zero)",saturated_fat<0.5,,"1,2,3,4",trans_fat<0.5,
ไขมันอิ่มตัว (saturated fat),"ต่ำ (low, low in, low source of, a little)",saturated_fat<= 1,,"1,2,4",,TRUE
คอเลสเตอรอล (cholesterol),"ปราศจาก, ไม่มี (free, without, free of, no, zero)",cholesterol< 2,,"1,2,5,6",saturated_fat<=2,
คอเลสเตอรอล (cholesterol),"ต่ำ (low, low in, low source of, a little)",cholesterol<= 20,,"1,2,6",saturated_fat<=2,
น้ำตาลทั้งหมด (total sugars),"ปราศจาก, ไม่มี (free, without, free of, no, zero)",sugar<0.5,,"1,2,7,8,9",,
โซเดียม (sodium),"ปราศจาก, ไม่มี (free, without, free of, no, zero)
",sodium<5,,"1,2,10,11",,
โซเดียม (sodium),"ต่ำมาก (very low, very low in)",sodium<35,,"1,2,10",,
โซเดียม (sodium),"ต่ำ (low, low in, low source of, little, contains a small amount of)",sodium<140,,"1,2,10",,
ใยอาหาร (dietary fiber),"แหล่งของ, มี (source of, contains, good source of)",,>=10,"2,12",,
ใยอาหาร (dietary fiber),"สูง, มาก (high, rich in, excellent source of)",,>=20,"2,12",,
โปรตีน (protein),"แหล่งของ, มี (source of, contains, good source of)",,>=10,2,,
โปรตีน (protein),"สูง, มาก (high, rich in, excellent source of)",,>=20,2,,
วิตามินเอ,"เป็นแหล่งของ, มี (source of, contains, good source of)",,>=15,2,,
วิตามินดี,"เป็นแหล่งของ, มี (source of, contains, good source of)",,>=15,2,,
วิตามินอี,"เป็นแหล่งของ, มี (source of, contains, good source of)",,>=15,2,,
วิตามินเค,"เป็นแหล่งของ, มี (source of, contains, good source of)",,>=15,2,,
วิตามินบี1/ไทอามีน,"เป็นแหล่งของ, มี (source of, contains, good source of)",,>=15,2,,
วิตามินบี2/ไรโบฟลาวิน,"เป็นแหล่งของ, มี (source of, contains, good source of)",,>=15,2,,
ไนอะซิน,"เป็นแหล่งของ, มี (source of, contains, good source of)",,>=15,2,,
กรดแพนโททีนิก,"เป็นแหล่งของ, มี (source of, contains, good source of)",,>=15,2,,
วิตามินบี6,"เป็นแหล่งของ, มี (source of, contains, good source of)",,>=15,2,,
ไบโอติน,"เป็นแหล่งของ, มี (source of, contains, good source of)",,>=15,2,,
โฟเลต,"เป็นแหล่งของ, มี (source of, contains, good source of)",,>=15,2,,
วิตามินบี12,"เป็นแหล่งของ, มี (source of, contains, good source of)",,>=15,2,,
วิตามินซี,"เป็นแหล่งของ, มี (source of, contains, good source of)",,>=15,2,,
แคลเซียม,"เป็นแหล่งของ, มี (source of, contains, good source of)",,>=15,2,,
ฟอสฟอรัส,"เป็นแหล่งของ, มี (source of, contains, good source of)",,>=15,2,,
แมกนีเซียม,"เป็นแหล่งของ, มี (source of, contains, good source of)",,>=15,2,,
เหล็ก,"เป็นแหล่งของ, มี (source of, contains, good source of)",,>=15,2,,
