group_id,group_name,item_no,food_type_th,reference_serving,serving_value,unit
1,ผลิตภัณฑ์นม,1,นม ผลิตภัณฑ์นม และเครื่องดื่มที่มีนมเป็นส่วนประกอบหลัก ชนิดพร้อมดื่ม,200 มิลลิลิตร,200,มิลลิลิตร
1,ผลิตภัณฑ์นม,2,นม ผลิตภัณฑ์นม และเครื่องดื่มที่มีนมเป็นส่วนประกอบหลัก ชนิดแห้ง (ปริมาณสำหรับเตรียมเครื่องดื่ม 200 มิลลิลิตร),200 มิลลิลิตร,200,มิลลิลิตร
1,ผลิตภัณฑ์นม,3,นมเปรี้ยวชนิดพร้อมดื่ม,150 มิลลิลิตร,150,มิลลิลิตร
1,ผลิตภัณฑ์นม,4,โยเกิร์ตชนิดครีม,150 กรัม,150,กรัม
1,ผลิตภัณฑ์นม,5,โยเกิร์ตชนิดแช่แข็ง,80 กรัม,80,กรัม
1,ผลิตภัณฑ์นม,6,นมข้นไม่หวาน ผลิตภัณฑ์นมข้นจืดและครีมเทียมข้นจืด,30 มิลลิลิตร,30,มิลลิลิตร
1,ผลิตภัณฑ์นม,7,นมข้นหวาน ผลิตภัณฑ์นมข้นหวาน และครีมเทียมข้นหวาน,20 กรัม,20,กรัม
1,ผลิตภัณฑ์นม,8,ครีมและครีมเทียม ชนิดผง,3 กรัม,3,กรัม
1,ผลิตภัณฑ์นม,9,ครีมและครีมเทียม ชนิดเหลว,15 มิลลิลิตร,15,มิลลิลิตร
1,ผลิตภัณฑ์นม,10,ครีมพร่องมันเนย,30 มิลลิลิตร,30,มิลลิลิตร
1,ผลิตภัณฑ์นม,11,ครีมเปรี้ยว,30 กรัม,30,กรัม
1,ผลิตภัณฑ์นม,12,ครีมชีสและชีสสเปรด,30 กรัม,30,กรัม
1,ผลิตภัณฑ์นม,13,เนยแข็งชนิดคอตเตจ,110 กรัม,110,กรัม
1,ผลิตภัณฑ์นม,14,เนยแข็งชนิดริคอตตา และคอตเตจ ชนิดแห้ง,55 กรัม,55,กรัม
1,ผลิตภัณฑ์นม,15,เนยแข็งชนิดพาร์มีซาน โรมาโน,5 กรัม,5,กรัม
1,ผลิตภัณฑ์นม,16,เนยแข็งชนิดอื่น,30 กรัม,30,กรัม
1,ผลิตภัณฑ์นม,17,นมอัดเม็ด และผลิตภัณฑ์ที่ใช้แทนนมอัดเม็ด ,6 กรัม,6,กรัม
2,เครื่องดื่ม,1,เครื่องดื่มจากพืช ผัก ผลไม้ ธัญพืช และอื่น ๆ,200 มิลลิลิตร,200,มิลลิลิตร
2,เครื่องดื่ม,2,เครื่องดื่มที่มีหรือไม่มีก๊าซผสมอยู่ (รวมทั้งน้ำบริโภคและน้ำแร่) และ เครื่องดื่มอื่น ๆ,200 มิลลิลิตร,200,มิลลิลิตร
